study_id,treatment,replicate,time_hours,time_days,source_day_label,source_reported_time_days,temperature_c,carbon_material,process_temperature_c,dose_g_l,raw_cumulative_methane_ml,blank_mean_cumulative_methane_ml,methane_ml_g_vs,included_in_benchmark,exclusion_reason,data_origin,source_doi
kozlowski_2025_scientific_reports,food_waste_hydrochar_240c,3,6,0.25000000,1,0.06250000,37,hydrochar,240,5.0,120.60000000,42.43333333,17.66241891,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,1,7,0.29166667,1,0.07291667,37,none,,0.0,153.10000000,46.20000000,24.15495840,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,2,7,0.29166667,1,0.07291667,37,none,,0.0,161.70000000,46.20000000,26.09820108,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste,3,7,0.29166667,1,0.07291667,37,none,,0.0,142.30000000,46.20000000,21.71460713,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,1,7,0.29166667,1,0.07291667,37,torrefaction_product,240,5.0,175.80000000,46.20000000,29.28421524,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,2,7,0.29166667,1,0.07291667,37,torrefaction_product,240,5.0,1.00000000,46.20000000,-10.21332198,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_torrefaction_240c,3,7,0.29166667,1,0.07291667,37,torrefaction_product,240,5.0,186.80000000,46.20000000,31.76975820,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,1,7,0.29166667,1,0.07291667,37,biochar,600,5.0,180.70000000,46.20000000,30.39141165,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,2,7,0.29166667,1,0.07291667,37,biochar,600,5.0,149.80000000,46.20000000,23.40929552,true,,experimental_publisher_supplement,10.1038/s41598-025-02564-0
kozlowski_2025_scientific_reports,food_waste_pyrolysis_600c,3,7,0.29166667,1,0.07291667,37,biochar,600,5.0,29.90000000,46.20000000,-3.68312275,false,excluded_from_publisher_mean; inconsistent_raw_signal,experimental_publisher_supplement,10.1038/s41598-025-02564-0
